,id,date_review_posted,review_title,review,verified_purchase,people_find_helpful,ratings,product_url,start,end,author,product_category
33,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 5, 2019",Un jouet a bon rapport qualité prix,Je vous dit qu' elle est contente elle se pense propriétaire d un véhicule merci,yes,0,5.0,https://www.amazon.ca/B-toys-Battat-Funkeys-Lights/dp/B06Y5KWDMR/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:16:33.596577,2020-09-14 03:16:42.894514,Le grand,Electronics
34,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 5, 2019",Léger et confortable,Idéal pour les froid d hiver garde au chaud merci,yes,0,5.0,https://www.amazon.ca/JoofEric-Thermal-Underwear-Fleece-Drying/dp/B07GZMC1DQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:16:52.990693,2020-09-14 03:17:00.250377,Le grand,Electronics
35,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"November 3, 2019",Bon rapport qualité prix,Très content pour le prix super,yes,0,5.0,https://www.amazon.ca/Jerzees-Adult-Sleeve-Heather-X-Large/dp/B00T7TYC7W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:17:07.387895,2020-09-14 03:17:13.657735,Le grand,Electronics
36,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"November 3, 2019",Bon rapport qualité prix,Bon produit chaude tuque,yes,0,5.0,https://www.amazon.ca/Toronto-Raptors-OTS-Huset-Color/dp/B07QZJVXZW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:17:23.770442,2020-09-14 03:17:31.067144,Le grand,Electronics
37,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"September 14, 2019",Chaud pour l hiver aussi,idéal aussi pour nos automnes québécois,yes,0,5.0,https://www.amazon.ca/NFL-OTS-Raised-Cuff-Knit/dp/B0725B5R7C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:17:41.170352,2020-09-14 03:17:47.404726,Le grand,Electronics
38,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"September 14, 2019",Un tissu en coton résistant,Il est confortable je suis a l aise avec,yes,0,5.0,https://www.amazon.ca/England-Patriots-T-Shirt-Raglan-X-Large/dp/B01MRKZUML/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:17:54.487044,2020-09-14 03:18:01.729214,Le grand,Electronics
39,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"September 14, 2019",Je la porte quotidiennement,La casquette me va très bien et facilement ajustable,yes,0,5.0,https://www.amazon.ca/Minnesota-Vikings-OTS-All-Star-Adjustable/dp/B07CJTSMG3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:18:10.845400,2020-09-14 03:18:17.139162,Le grand,Electronics
40,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"August 9, 2019",Un incontournable a avoir en main,Un de mes groupe rock prefere quand j était adolescent,yes,0,5.0,https://www.amazon.ca/Equinox-Crystal-Ball-Styx/dp/B000E0VL2M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:18:27.230372,2020-09-14 03:18:34.546165,Le grand,Electronics
41,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"August 9, 2019",Un classic de la musique rock,De bon compositeur qui me font vibrer par leur musique,yes,0,5.0,https://www.amazon.ca/Greatest-Hits-Live-Foreigner/dp/B00WVQQTBK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:18:42.655493,2020-09-14 03:18:48.999552,Le grand,Electronics
42,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"August 9, 2019",Un incontournable a avoir en main,Je suis très satisfait de cet album de green Day merci,yes,0,5.0,https://www.amazon.ca/Insomniac-Green-Day/dp/B000002N2P/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:18:58.109383,2020-09-14 03:19:06.448885,Le grand,Electronics
43,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"July 18, 2019",D une utilité quotidienne,Pour le prix et un choix très variés c est idéal,yes,0,5.0,https://www.amazon.ca/Crayola-Coloured-Pre-sharpened-Colouring-Journaling/dp/B00CMM906E/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:19:13.576354,2020-09-14 03:19:19.986475,Le grand,Electronics
44,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"July 18, 2019",Très bon prix et bonne qualité sonore rock,C est du bon rock et un bon divertissement musicale,yes,One,5.0,https://www.amazon.ca/Minutes-Midnight-Linkin-Park/dp/B000OCXMAE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:19:30.112949,2020-09-14 03:19:38.498850,Le grand,Electronics
